Day,Campaign Name,Age,Gender,Impressions,Link Clicks,Amount Spent,Results,,,,4週間前の開始日,2週間前の開始日,1週間前の開始日,終了日
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,271,6,1812,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,25,,43,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1863,8,6168,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,377,5,1465,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,22,,50,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1832,10,4719,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,309,1,1264,,,,,,,,
2025-09-17,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,19,,68,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,3,,4,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,45-54,Unknown,19,,52,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,595,5,4483,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,217,6,1447,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,81,3,798,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,314,5,2521,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,3,,2,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,341,3,2095,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1236,9,4784,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,25-34,Male,1345,5,3719,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,32,1,77,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,25-34,Female,247,3,1050,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,18-24,Female,97,1,338,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,35-44,Male,1679,10,4825,1,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,18-24,Unknown,15,,27,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,18-24,Male,515,1,1304,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,25-34,Unknown,22,,55,,,,,,,,
2025-09-18,媒体ALL_性別男性_リード獲得 - コピー,35-44,Female,417,2,1547,1,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,35-44,Unknown,17,,22,,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,65+,Unknown,1,,60,,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,65+,Male,319,6,1998,,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,65+,Female,80,,770,,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,55-64,Unknown,7,,12,,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,55-64,Male,575,6,3969,1,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,55-64,Female,215,3,1682,,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,45-54,Male,1315,13,4784,1,,,,,,,
2025-09-19,媒体ALL_性別男性_リード獲得 - コピー,45-54,Female,381,2,1836,,,,,,,,
